tech,problem,seed,budget,ants,beta,rho,ls_steps,score
aco_mmas_ls,medium-graph,42,12,10,4.0,0.3,400,-1499109.0
aco_mmas_ls,large-graph,42,25,5,1.0,0.1,100,-4670050.0
aco_mmas_ls,large-graph,42,25,5,1.0,0.1,200,-4670050.0
aco_mmas_ls,large-graph,42,25,5,1.0,0.1,400,-4670050.0
aco_mmas_ls,large-graph,42,25,5,1.0,0.3,100,-4670050.0
aco_mmas_ls,large-graph,42,25,5,1.0,0.3,200,-4670050.0
aco_mmas_ls,large-graph,42,25,5,1.0,0.3,400,-4670050.0
aco_mmas_ls,large-graph,42,25,5,2.0,0.1,100,-4670050.0
aco_mmas_ls,large-graph,42,25,5,2.0,0.1,200,-4670050.0
aco_mmas_ls,large-graph,42,25,5,2.0,0.1,400,-4670050.0
aco_mmas_ls,large-graph,42,25,5,2.0,0.3,100,-4670050.0
aco_mmas_ls,large-graph,42,25,5,2.0,0.3,200,-4670050.0
aco_mmas_ls,large-graph,42,25,5,2.0,0.3,400,-4670050.0
aco_mmas_ls,large-graph,42,25,5,4.0,0.1,100,-4670050.0
aco_mmas_ls,large-graph,42,25,5,4.0,0.1,200,-4670050.0
aco_mmas_ls,large-graph,42,25,5,4.0,0.1,400,-4670050.0
aco_mmas_ls,large-graph,42,25,5,4.0,0.3,100,-4670050.0
aco_mmas_ls,large-graph,42,25,5,4.0,0.3,200,-4670050.0
aco_mmas_ls,large-graph,42,25,5,4.0,0.3,400,-4670050.0
aco_mmas_ls,large-graph,42,25,10,1.0,0.1,100,-4670050.0
aco_mmas_ls,large-graph,42,25,10,1.0,0.1,200,-4670050.0
aco_mmas_ls,large-graph,42,25,10,1.0,0.1,400,-4670050.0
aco_mmas_ls,large-graph,42,25,10,1.0,0.3,100,-4670050.0
aco_mmas_ls,large-graph,42,25,10,1.0,0.3,200,-4670050.0
aco_mmas_ls,large-graph,42,25,10,1.0,0.3,400,-4670050.0
aco_mmas_ls,large-graph,42,25,10,2.0,0.1,100,-4670050.0
aco_mmas_ls,large-graph,42,25,10,2.0,0.1,200,-4670050.0
aco_mmas_ls,large-graph,42,25,10,2.0,0.1,400,-4670050.0
aco_mmas_ls,large-graph,42,25,10,2.0,0.3,100,-4670050.0
aco_mmas_ls,large-graph,42,25,10,2.0,0.3,200,-4670050.0
aco_mmas_ls,large-graph,42,25,10,2.0,0.3,400,-4670050.0
aco_mmas_ls,large-graph,42,25,10,4.0,0.1,100,-4670050.0
aco_mmas_ls,large-graph,42,25,10,4.0,0.1,200,-4670050.0
aco_mmas_ls,large-graph,42,25,10,4.0,0.1,400,-4670050.0
aco_mmas_ls,large-graph,42,25,10,4.0,0.3,100,-4670050.0
aco_mmas_ls,large-graph,42,25,10,4.0,0.3,200,-4670050.0
aco_mmas_ls,large-graph,42,25,10,4.0,0.3,400,-4670050.0
