t_s,hv
0.800,4768725
1.600,4771221
2.100,4771221
3.000,4771221
3.800,4771221
4.700,4771221
5.400,4771221
6.400,4771221
7.100,4775262
8.100,4775389
9.200,4781015
10.400,4781018
11.300,4783625
12.100,4786369
13.000,4787261
13.900,4787388
14.700,4788509
15.500,4788699
16.400,4789000
17.300,4789933
18.300,4790200
19.500,4790255
20.300,4795031
21.200,4796010
22.100,4796240
23.000,4796386
24.000,4796476
24.800,4796663
