t_s,hv
0.400,1602285
1.200,1602738
1.900,1602916
2.700,1603060
3.400,1603060
4.300,1604411
5.100,1607290
6.000,1607466
7.100,1607564
8.300,1608281
9.400,1608284
10.600,1608284
11.600,1608505
