t_s,hv
0.100,1814329
0.300,1814329
0.400,1814413
0.500,1814413
0.600,1814418
0.800,1814442
0.900,1814527
1.000,1814587
1.200,1814587
1.300,1814587
1.500,1814587
1.700,1814587
1.800,1814589
2.000,1814589
2.100,1814589
2.300,1814589
2.400,1814589
2.600,1814602
2.800,1814622
2.900,1814627
3.100,1814679
3.200,1814812
3.400,1814842
3.600,1814845
3.700,1814862
3.900,1814884
4.100,1814896
4.200,1814917
4.400,1814921
4.600,1814925
4.700,1814928
4.900,1814928
5.100,1814932
5.200,1814938
5.400,1814938
5.600,1814939
5.700,1814939
5.900,1814940
6.100,1814940
6.300,1814940
6.400,1814942
6.600,1814942
6.800,1814942
6.900,1814942
7.100,1814942
7.300,1814942
7.500,1814942
7.600,1814946
7.800,1814950
8.000,1814950
8.100,1814951
8.300,1814952
8.500,1814958
8.700,1814996
8.900,1815006
9.100,1815031
9.300,1815035
9.500,1815043
9.700,1815043
9.900,1815045
10.100,1815045
10.300,1815045
10.500,1815045
10.700,1815045
10.900,1815045
11.100,1815045
11.300,1815045
11.500,1815047
11.700,1815047
11.900,1815048
12.100,1815048
12.300,1815048
12.500,1815048
12.700,1815048
12.900,1815048
13.100,1815048
13.400,1815048
13.600,1815048
13.800,1815048
14.000,1815048
14.200,1815048
14.400,1815048
14.600,1815049
14.800,1815049
15.000,1815049
15.200,1815050
15.400,1815050
15.600,1815050
15.800,1815050
16.000,1815050
16.200,1815050
16.400,1815050
16.600,1815050
16.800,1815050
17.000,1815050
17.200,1815050
17.400,1815050
17.600,1815050
17.800,1815050
18.100,1815050
18.300,1815050
18.500,1815050
18.700,1815050
19.000,1815050
19.200,1815050
19.400,1815050
19.600,1815050
19.800,1815050
20.000,1815050
20.200,1815050
20.400,1815050
20.600,1815050
20.800,1815050
21.000,1815050
21.300,1815050
21.500,1815050
21.700,1815051
21.900,1815051
22.100,1815052
22.300,1815054
22.500,1815054
22.700,1815054
22.900,1815054
23.100,1815054
23.300,1815054
23.500,1815066
23.700,1816227
24.000,1816470
24.200,1816513
24.400,1816532
24.600,1816550
24.900,1816554
