t_s,hv
0.800,4768725
1.700,4768725
2.500,4768725
3.400,4774081
4.300,4776001
5.200,4776001
6.300,4776001
7.300,4777729
8.300,4777780
9.600,4778900
10.800,4780370
12.000,4780370
13.200,4780370
14.400,4782701
15.600,4783004
16.900,4783610
18.000,4785316
19.200,4786624
20.300,4787246
21.500,4788493
22.800,4790843
24.100,4791663
