config,problem,seed,score,elapsed_s
nsga2,small-graph,9,-1816184,145.16
nsga2,small-graph,10,-1814329,585.98
nsga2,small-graph,11,-1814554,806.69
sms,small-graph,1,-1814689,28.74
sms,small-graph,2,-1814710,28.14
sms,small-graph,3,-1817326,28.04
sms,small-graph,4,-1814597,28.54
sms,small-graph,5,-1814843,28.97
sms,small-graph,6,-1816258,29.11
sms,small-graph,7,-1814649,28.59
sms,small-graph,8,-1814485,28.32
sms,small-graph,9,-1816563,27.95
sms,small-graph,10,-1815971,28.73
sms,small-graph,11,-1815467,28.32
nsga2_ls,small-graph,1,-1814508,27.95
nsga2_ls,small-graph,2,-1815516,27.48
nsga2_ls,small-graph,3,-1814504,31.41
nsga2_ls,small-graph,4,-1814441,27.53
nsga2_ls,small-graph,5,-1814659,28.08
nsga2_ls,small-graph,6,-1814398,29.31
nsga2_ls,small-graph,7,-1814396,29.15
nsga2_ls,small-graph,8,-1814329,29.04
nsga2_ls,small-graph,9,-1814503,29.28
nsga2_ls,small-graph,10,-1814478,28.53
nsga2_ls,small-graph,11,-1814715,27.76
sms_ls,small-graph,1,-1814780,28.14
sms_ls,small-graph,2,-1814647,28.70
sms_ls,small-graph,3,-1814501,27.38
sms_ls,small-graph,4,-1814523,27.94
sms_ls,small-graph,5,-1814510,28.35
sms_ls,small-graph,6,-1818628,27.93
sms_ls,small-graph,7,-1814586,28.08
sms_ls,small-graph,8,-1814494,27.31
sms_ls,small-graph,9,-1815704,28.02
sms_ls,small-graph,10,-1814737,28.17
sms_ls,small-graph,11,-1814507,27.39
hc9,medium-graph,1,-1607584,13.13
hc9,medium-graph,2,-1616192,13.13
hc9,medium-graph,3,-1601014,13.15
hc9,medium-graph,4,-1615486,13.12
hc9,medium-graph,5,-1615490,13.20
hc9,medium-graph,6,-1608853,13.13
hc9,medium-graph,7,-1591704,13.13
hc9,medium-graph,8,-1601117,13.16
hc9,medium-graph,9,-1608648,13.12
hc9,medium-graph,10,-1615530,13.11
hc9,medium-graph,11,-1616521,13.13
sa,medium-graph,1,-1601330,14.37
sa,medium-graph,2,-1608027,14.26
sa,medium-graph,3,-1595202,14.43
sa,medium-graph,4,-1610696,14.33
sa,medium-graph,5,-1611153,14.44
sa,medium-graph,6,-1604349,14.35
sa,medium-graph,7,-1583310,14.31
sa,medium-graph,8,-1593845,14.42
sa,medium-graph,9,-1603388,14.34
sa,medium-graph,10,-1609053,14.36
