t_s,hv
0.400,1600965
0.800,1602346
1.300,1602886
1.700,1604328
2.200,1604623
2.600,1607298
3.000,1607859
3.500,1608162
3.900,1608242
4.300,1608311
4.800,1608335
5.300,1608746
5.700,1608896
6.100,1609379
6.600,1609523
7.000,1609573
7.400,1609630
7.900,1609805
8.300,1609850
8.700,1609921
9.100,1609942
9.700,1609958
10.500,1609993
11.000,1610013
11.400,1610021
11.800,1610045
