t_s,hv
0.900,4768725
1.700,4771596
2.700,4772640
3.600,4772640
4.100,4773004
5.200,4776872
6.300,4777880
7.700,4777880
8.900,4777880
9.800,4777880
10.900,4778972
11.800,4778972
12.900,4778972
13.900,4779284
15.000,4779796
16.000,4779796
17.300,4783067
18.400,4783297
19.300,4785385
20.200,4788213
21.500,4788213
22.600,4792736
23.700,4792880
25.100,4795772
