tech,problem,seed,budget,k_max,shake_strength,vnd_k,score
vns_vnd,large-graph,42,25,6,2,8,-4793451.0
vns_vnd,large-graph,42,25,6,2,16,-4793114.0
vns_vnd,large-graph,42,25,6,4,4,-4793598.0
vns_vnd,large-graph,42,25,6,4,8,-4794195.0
vns_vnd,large-graph,42,25,6,4,16,-4793157.0
vns_vnd,large-graph,42,25,10,1,4,-4793584.0
vns_vnd,large-graph,42,25,10,1,8,-4793482.0
vns_vnd,large-graph,42,25,10,1,16,-4793092.0
vns_vnd,large-graph,42,25,10,2,4,-4793617.0
vns_vnd,large-graph,42,25,10,2,8,-4793451.0
vns_vnd,large-graph,42,25,10,2,16,-4793114.0
vns_vnd,large-graph,42,25,10,4,4,-4793598.0
vns_vnd,large-graph,42,25,10,4,8,-4794195.0
vns_vnd,large-graph,42,25,10,4,16,-4793157.0
