t_s,hv
0.400,1814393
0.800,1814393
1.200,1814393
1.700,1814393
2.200,1814474
2.700,1814474
3.100,1814480
3.800,1814480
4.300,1814488
4.800,1814491
5.300,1814491
5.700,1814491
6.300,1814491
6.900,1814491
7.500,1814491
8.000,1814499
8.400,1814499
9.100,1814499
9.600,1814499
10.100,1814499
10.700,1814499
11.400,1814499
12.100,1814499
12.700,1814499
13.100,1814499
13.600,1814499
14.200,1814499
14.700,1814499
15.200,1814499
15.700,1814515
16.100,1814515
16.500,1814800
16.900,1814811
17.200,1814822
17.700,1814844
18.000,1814844
18.400,1814844
18.800,1814864
19.200,1814913
19.600,1814961
20.000,1814961
20.300,1814961
20.800,1814961
21.500,1814961
21.900,1814961
22.300,1814961
22.900,1814961
23.500,1814961
24.100,1814961
24.600,1814961
