t_s,hv
0.500,1814329
1.000,1814393
1.500,1814408
2.100,1814408
2.500,1814472
2.900,1814569
3.200,1814595
3.500,1814595
3.900,1814595
4.300,1814700
4.600,1814715
5.000,1814715
5.300,1814715
5.600,1814715
5.900,1814715
6.300,1814715
6.800,1814715
7.300,1814721
8.000,1814721
8.500,1814721
9.100,1814721
9.800,1814721
10.500,1814721
11.100,1814721
11.600,1814721
12.000,1814721
12.400,1814721
12.900,1814721
13.600,1814721
14.400,1814721
14.800,1814721
15.300,1814721
15.600,1814721
16.100,1814722
16.700,1814722
17.200,1814722
17.700,1814722
18.200,1814722
18.700,1814722
19.300,1814722
19.800,1814722
20.300,1814722
20.900,1814722
21.400,1814722
21.800,1814722
22.400,1814722
22.800,1814722
23.300,1814722
23.900,1814722
24.200,1814722
24.700,1814722
